id,date_account_created,timestamp_first_active,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
gdka1q5ktd,1/10/2010,2.01E+13,1/10/2010,FEMALE,29,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,FR
qdubonn3uk,1/10/2010,2.01E+13,1/18/2010,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,US
qsibmuz9sx,1/10/2010,2.01E+13,1/11/2010,MALE,30,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
80f7dwscrn,1/11/2010,2.01E+13,1/11/2010,-unknown-,40,basic,0,en,seo,google,untracked,Web,iPhone,-unknown-,US
jha93x042q,1/11/2010,2.01E+13,,-unknown-,,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Safari,NDF
7i49vnuav6,1/11/2010,2.01E+13,,FEMALE,40,basic,0,en,seo,google,untracked,Web,Mac Desktop,Firefox,NDF
al8bcetz0g,1/12/2010,2.01E+13,1/15/2010,FEMALE,26,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Chrome,FR
bjg0m5otl3,1/12/2010,2.01E+13,,-unknown-,,basic,0,en,other,other,untracked,Web,Other/Unknown,-unknown-,NDF
hfrl5gle36,1/12/2010,2.01E+13,1/22/2010,FEMALE,32,basic,0,en,other,craigslist,untracked,Web,Desktop (Other),Chrome,US
tp6x3md0n4,1/13/2010,2.01E+13,1/13/2010,-unknown-,35,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,FR
hql77nu2lk,1/13/2010,2.01E+13,1/19/2010,-unknown-,37,basic,0,en,direct,direct,untracked,Web,Android Tablet,-unknown-,US
cheova4spt,1/14/2010,2.01E+13,1/24/2010,-unknown-,42,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Firefox,FR
pggg2sj27u,1/14/2010,2.01E+13,,MALE,31,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
mo2v5h3nti,1/14/2010,2.01E+13,,-unknown-,31,basic,0,en,seo,google,untracked,Web,Other/Unknown,-unknown-,NDF
qthj88nnc7,1/14/2010,2.01E+13,,MALE,29,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
x9gnxoun57,1/15/2010,2.01E+13,,MALE,59,basic,0,en,direct,direct,untracked,Web,Windows Desktop,Chrome,NDF
ugy4obax11,1/15/2010,2.01E+13,,-unknown-,49,basic,0,en,sem-non-brand,google,,Web,Other/Unknown,-unknown-,NDF
7my0vrljxc,1/15/2010,2.01E+13,1/15/2010,FEMALE,31,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
ul0b29nhr6,1/15/2010,2.01E+13,,MALE,30,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,Chrome,NDF
7yzz3iv0ji,1/15/2010,2.01E+13,,-unknown-,,basic,0,en,sem-non-brand,other,omg,Web,Windows Desktop,Firefox,NDF
myunxar49t,1/16/2010,2.01E+13,,FEMALE,35,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Safari,NDF
jpne62dhz8,1/16/2010,2.01E+13,,MALE,26,basic,0,en,other,craigslist,linked,Web,Windows Desktop,Firefox,NDF
k15j7mbny0,1/19/2010,2.01E+13,1/21/2010,FEMALE,30,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Chrome,US
2981o5kr7b,1/21/2010,2.01E+13,,FEMALE,29,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,NDF
69xzq1jxkq,1/21/2010,2.01E+13,,-unknown-,,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
g3z67e37mb,12/1/2010,2.01E+13,12/3/2010,-unknown-,,basic,0,en,direct,direct,,Web,Other/Unknown,-unknown-,GB
g1q6caq452,1/23/2010,2.01E+13,1/27/2010,FEMALE,44,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,IE,US
f6mzhb4wbc,1/24/2010,2.01E+13,2/25/2010,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,ES
ngai8kt2yi,1/24/2010,2.01E+13,1/24/2010,-unknown-,,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
2cji4lpjr3,1/24/2010,2.01E+13,,-unknown-,,basic,0,en,other,craigslist,untracked,Web,Windows Desktop,IE,NDF
byozd991xf,1/24/2010,2.01E+13,1/25/2010,-unknown-,34,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,US
22r42sgc0a,1/25/2010,2.01E+13,,-unknown-,30,basic,0,en,other,craigslist,,Web,Other/Unknown,-unknown-,NDF
rcx09dn2je,1/25/2010,2.01E+13,1/26/2010,-unknown-,,basic,0,en,direct,direct,untracked,Web,Mac Desktop,Safari,US
ae59m0iqsx,1/25/2010,2.01E+13,1/26/2010,-unknown-,33,basic,0,en,other,craigslist,untracked,Web,iPad,Mobile Safari,US
jtm5s5dhwx,1/26/2010,2.01E+13,,MALE,28,basic,0,en,other,craigslist,linked,Web,Windows Desktop,Chrome,NDF
efabqzuxmf,1/26/2010,2.01E+13,1/27/2010,-unknown-,44,basic,0,en,other,craigslist,untracked,Web,Mac Desktop,Firefox,US
emg8edpcpm,1/26/2010,2.01E+13,7/30/2010,-unknown-,19,basic,0,en,direct,direct,omg,Web,iPad,Mobile Safari,US
bgel0c0qic,1/27/2010,2.01E+13,,FEMALE,53,basic,0,en,other,craigslist,linked,Web,Android Tablet,Chrome,NDF
ehcdcpkn8y,1/27/2010,2.01E+13,1/28/2010,-unknown-,,basic,0,en,direct,direct,untracked,Web,Android Tablet,Chrome,CA
